"","effect","LCL","UCL","betaName","diet"
"1",0.49773984410297,0.481359012642789,0.526193348361975,"Shrub cover","predatory"
"2",0.596845421639407,0.552634524163173,0.64839070370179,"Shrub cover","invertebrates"
"3",0.554581735013603,0.502653415488467,0.654006914976271,"Shrub cover","fruit"
"4",0.530585625720631,0.492777834259676,0.583272659959582,"Shrub cover","seeds"
"5",0.935989596870807,0.506514158906417,0.992643755434657,"Shrub cover","nectar"
"6",0.411461768317649,0.0446299063868224,0.941448244435616,"Protected","predatory"
"7",0.599181997432983,0.239670062587224,0.878581837607764,"Protected","invertebrates"
"8",0.951234669483641,0.504172219747653,0.998554809169008,"Protected","fruit"
"9",0.956974621093005,0.649396438875626,0.997525706971394,"Protected","seeds"
"10",0.536491097961679,0.000426201380916998,0.999875526083076,"Protected","nectar"
"11",0.16913202316759,0.0145598158219829,0.739735939906871,"Pasture","predatory"
"12",0.012347750232582,0.00258685062703567,0.0547253352510234,"Pasture","invertebrates"
"13",0.927664475197987,0.322119249462055,0.998198551339161,"Pasture","fruit"
"14",0.888804448860957,0.327244999760973,0.995369627856164,"Pasture","seeds"
"15",0.983948250516364,0.243884674764746,0.999991641119865,"Pasture","nectar"
"16",0.370213133975237,0.0507587935940018,0.884666835274507,"Homestead","predatory"
"17",0.0658831483094761,0.0159545211252466,0.236030227489671,"Homestead","invertebrates"
"18",0.548036394285112,0.0588814749335292,0.968950076176334,"Homestead","fruit"
"19",0.43007495560192,0.0518499740672679,0.922948140944075,"Homestead","seeds"
"20",0.915052376307645,0.03632611801579,0.999980085039299,"Homestead","nectar"
"21",0.00020701331257994,1.96185487115249e-06,0.0110951058478167,"Plantation","predatory"
"22",0.00344424587102189,0.0006288320199544,0.0202687468214522,"Plantation","invertebrates"
"23",0.00344424587102189,0.0006288320199544,0.0202687468214522,"Plantation","fruit"
"24",0.0190466227192101,0.000556437721285497,0.369839075831816,"Plantation","seeds"
"25",0.0006527199385058,4.96156470762434e-07,0.165145545215905,"Plantation","nectar"
